borough,neighborhood,sqft,bedrooms,bathrooms,floor,age,has_garage,has_elevator,has_doorman,subway_dist,price
Bronx,South Bronx,1087,0,3,13,73,0,0,0,1.03,724780
Staten Island,St. George,2468,5,4,23,62,1,0,1,1.3,1631575
Manhattan,Upper East Side,965,1,3,20,39,1,1,0,1.19,1837341
Brooklyn,DUMBO,1607,5,4,22,17,0,1,1,0.12,1712901
Brooklyn,DUMBO,2294,0,2,47,66,0,1,1,1.05,1719455
Manhattan,Harlem,1226,0,4,23,61,0,1,1,1.51,1675818
Brooklyn,DUMBO,1751,4,4,41,9,0,0,0,1.47,1696479
Manhattan,Chelsea,2626,1,3,35,51,1,0,1,1.9,2798614
Staten Island,St. George,2211,2,2,3,72,1,0,1,1.71,861611
Staten Island,Tottenville,1482,5,3,34,45,0,0,1,0.76,1341682
Manhattan,Harlem,1750,4,4,33,54,1,1,0,0.71,1820260
Staten Island,St. George,3352,5,1,46,45,0,1,0,1.21,1665111
Staten Island,Tottenville,2044,5,4,17,74,0,0,1,1.86,861614
Staten Island,St. George,3116,2,4,45,59,0,1,0,0.33,2387699
Queens,Jackson Heights,590,1,3,19,96,1,1,1,2.38,918391
Bronx,Fordham,1623,0,1,30,99,0,1,0,1.4,820821
Brooklyn,DUMBO,1735,3,1,23,25,1,1,1,0.84,1618709
Queens,Forest Hills,1107,5,3,15,26,1,1,0,1.76,1037665
Staten Island,Great Kills,778,3,2,14,37,0,0,1,0.21,1013362
Manhattan,Harlem,786,1,1,2,21,1,0,0,1.26,1624654
Staten Island,Tottenville,2684,3,1,39,25,0,1,0,1.27,1444951
Bronx,Mott Haven,1015,5,3,49,85,0,1,1,0.49,771331
Staten Island,Stapleton,1942,2,2,18,68,1,0,1,2.11,1509182
Manhattan,Midtown,2730,3,2,6,34,0,0,0,2.01,2578770
Bronx,Mott Haven,2448,1,4,32,65,1,1,1,0.47,1122257
Staten Island,Annadale,2154,1,4,21,98,1,1,1,0.97,1444012
Bronx,Pelham Bay,863,2,3,40,72,1,1,1,0.34,1155003
Brooklyn,Williamsburg,1366,3,2,28,50,0,0,1,2.14,1399876
Brooklyn,Flatbush,571,3,3,27,17,1,1,0,0.88,1192317
Staten Island,Stapleton,1546,0,4,2,42,0,1,1,1.15,1135753
Bronx,Norwood,1242,4,3,33,11,0,1,0,0.88,1047381
Manhattan,Harlem,1721,1,3,16,2,1,1,0,0.84,2114800
Staten Island,Tottenville,2308,0,1,39,81,1,1,1,1.89,1814429
Brooklyn,Williamsburg,1089,1,1,22,6,0,1,1,1.89,1136668
Brooklyn,Bushwick,3022,0,1,43,96,1,1,0,1.34,2025843
Staten Island,St. George,1907,4,4,47,5,1,1,1,1.68,1334119
Bronx,Mott Haven,2612,0,3,13,81,1,0,1,1.33,1204271
Brooklyn,Park Slope,2424,1,1,2,44,0,0,0,0.17,1802019
Bronx,Mott Haven,2122,3,1,14,85,1,0,0,0.26,1682809
Brooklyn,DUMBO,782,1,1,38,38,0,1,0,1.02,1009328
Brooklyn,Bushwick,2656,5,4,41,50,0,0,1,1.9,2597019
Queens,Flushing,1812,2,4,28,8,1,0,1,2.29,1385146
Brooklyn,Williamsburg,1983,2,3,7,98,1,0,0,0.17,1506552
Manhattan,Midtown,2671,5,3,18,22,0,0,0,0.98,2105788
Staten Island,Annadale,2450,2,3,41,11,0,0,1,0.64,1801042
Staten Island,Great Kills,771,2,1,36,87,1,1,1,2.06,801289
Bronx,Norwood,2110,4,2,41,61,0,0,1,2.13,1260381
Brooklyn,Bay Ridge,1869,3,4,36,72,1,1,0,0.6,1420306
Manhattan,Midtown,1010,3,1,44,76,0,1,1,1.81,1748679
Bronx,Pelham Bay,515,1,1,4,39,1,0,1,1.86,659254
Queens,Long Island City,846,5,3,30,53,0,1,0,0.52,1104048
Bronx,Mott Haven,1791,0,3,24,80,1,0,1,1.14,1297864
Bronx,Mott Haven,1740,1,1,20,6,1,1,0,1.59,1328316
Brooklyn,Park Slope,814,1,4,46,16,0,1,1,0.16,1145426
Queens,Astoria,2208,1,4,31,49,1,0,0,1.07,1486948
Bronx,Pelham Bay,3339,1,1,24,23,0,1,0,0.47,2273309
Manhattan,Upper East Side,1447,3,2,7,1,0,1,0,1.4,1691628
Manhattan,Harlem,3110,0,2,26,98,0,1,1,2.12,2683248
Staten Island,Tottenville,2273,1,4,13,91,0,1,1,1.36,1189311
Queens,Jackson Heights,1473,3,3,8,82,1,1,1,0.19,1284203
Queens,Forest Hills,1117,1,2,5,32,0,1,1,0.17,970175
Staten Island,Tottenville,1758,2,2,44,20,0,1,0,1.55,1653224
Bronx,Mott Haven,2005,1,3,13,73,0,1,1,0.89,1531969
Queens,Forest Hills,3498,5,2,29,52,1,0,1,1.47,2755917
Manhattan,SoHo,2718,5,1,20,45,0,1,0,0.49,2047141
Manhattan,SoHo,961,1,2,14,44,1,0,0,1.96,1688840
Brooklyn,Williamsburg,3251,4,3,32,8,1,0,0,2.17,2313730
Queens,Forest Hills,2694,2,1,27,5,0,1,0,2.23,2076631
Bronx,Mott Haven,786,0,2,25,50,1,1,1,0.83,701469
Staten Island,Tottenville,1101,1,4,4,34,0,0,0,1.69,977668
Staten Island,Great Kills,3006,0,1,21,81,1,0,1,0.77,2066649
Bronx,South Bronx,1372,2,1,18,52,1,0,1,1.93,883944
Brooklyn,DUMBO,1784,1,4,39,18,0,1,0,0.39,1457854
Staten Island,St. George,1383,4,4,15,68,1,1,0,1.93,1008334
Queens,Astoria,1911,3,2,38,24,0,1,0,1.16,1458304
Brooklyn,Bay Ridge,751,4,2,48,10,1,0,0,2.15,1383203
Queens,Jackson Heights,2124,4,3,24,73,0,1,0,1.87,1845120
Manhattan,Upper East Side,2351,3,3,8,16,0,1,1,1.0,2017423
Brooklyn,DUMBO,1679,3,1,28,35,0,1,0,2.27,1515507
Staten Island,Tottenville,2307,5,4,21,89,0,1,1,0.78,1596194
Brooklyn,DUMBO,1152,3,4,16,94,1,0,0,2.42,1029434
Brooklyn,Park Slope,3228,1,3,16,95,0,1,1,1.94,2087351
Brooklyn,Bay Ridge,1424,0,1,35,20,0,1,1,2.48,1173413
Brooklyn,DUMBO,945,5,1,17,17,0,0,1,0.23,1327129
Queens,Long Island City,1869,5,3,9,59,0,1,0,0.76,1098288
Manhattan,SoHo,478,0,3,35,17,1,0,0,1.88,1555602
Bronx,Riverdale,1659,5,3,29,0,0,0,0,2.31,1078069
Brooklyn,Bay Ridge,2781,3,2,39,13,1,1,1,0.17,2651089
Staten Island,St. George,1288,4,1,18,7,0,0,1,0.1,1346446
Brooklyn,Bushwick,1505,2,1,12,65,0,1,0,0.71,1299256
Staten Island,Annadale,2949,3,1,19,50,0,0,0,2.15,1712493
Queens,Flushing,2390,4,3,48,78,0,0,1,1.94,1459959
Staten Island,Great Kills,1900,4,3,22,59,0,1,1,0.92,1660497
Bronx,Fordham,3212,5,3,49,33,0,0,0,0.1,1619042
Manhattan,Harlem,1320,1,3,15,35,1,1,0,1.43,1881375
Staten Island,Annadale,949,1,4,1,61,1,1,0,0.67,635308
Staten Island,St. George,2461,5,3,2,0,0,1,1,1.89,1315049
Manhattan,Financial District,791,5,2,8,84,0,1,1,1.17,1454510
Bronx,Norwood,2757,0,4,22,41,0,0,0,1.73,1067371
Brooklyn,Bushwick,2833,0,4,25,0,1,1,0,2.15,2069493
Staten Island,New Dorp,1780,2,3,2,95,0,0,0,1.39,681181
Manhattan,Harlem,1373,2,1,9,83,1,1,0,0.91,1933753
Queens,Astoria,739,2,3,9,53,1,0,0,1.95,961867
Manhattan,Financial District,3044,2,1,13,46,1,0,1,0.74,2123810
Queens,Flushing,1156,4,3,6,99,1,0,0,2.24,908133
Bronx,Pelham Bay,1445,4,3,30,38,1,0,1,0.27,1192373
Brooklyn,Park Slope,2738,0,1,15,29,0,1,1,2.11,2093535
Manhattan,SoHo,2753,1,1,15,6,1,1,1,0.32,2321283
Staten Island,St. George,3081,5,1,7,21,1,0,1,0.23,1293341
Bronx,Pelham Bay,3072,1,1,11,49,0,0,1,0.97,1343950
Manhattan,Financial District,1338,3,2,40,44,0,1,1,2.4,1860128
Staten Island,St. George,1247,4,1,38,73,1,0,1,2.46,1286690
Manhattan,Financial District,841,2,3,40,71,0,0,1,0.58,1925857
Queens,Flushing,2950,2,3,2,90,0,1,0,0.46,1331246
Manhattan,Financial District,529,3,2,48,9,0,0,0,0.95,1752499
Manhattan,Harlem,996,1,1,39,13,1,0,0,0.91,1962379
Manhattan,SoHo,2358,2,3,10,45,1,1,0,1.92,1793313
Bronx,Mott Haven,1905,1,2,44,74,0,0,0,1.17,1416875
Manhattan,Upper East Side,1261,5,3,17,5,0,1,1,1.97,1976992
Staten Island,Great Kills,3040,3,2,7,20,1,1,1,1.9,2081745
Queens,Jackson Heights,1398,1,2,40,61,1,1,1,1.49,1282903
Queens,Astoria,2772,5,4,39,96,0,1,1,2.1,2347948
Manhattan,Upper East Side,2895,1,4,4,18,1,0,1,0.57,2210209
Bronx,Mott Haven,1951,1,1,35,87,1,1,0,0.49,1556141
Bronx,Norwood,3266,2,4,47,81,0,1,0,1.9,1411324
Staten Island,New Dorp,2040,0,2,36,98,0,0,1,0.69,1073231
Manhattan,Midtown,1911,4,3,31,61,1,1,0,0.11,2518621
Queens,Astoria,2136,1,3,25,82,1,0,0,2.29,1561277
Bronx,Riverdale,3156,1,1,41,52,1,1,0,1.6,1500492
Manhattan,Financial District,1849,1,4,13,23,0,1,0,1.17,2171617
Bronx,Fordham,2257,0,1,18,55,0,1,0,1.84,889187
Bronx,Norwood,664,5,2,21,61,0,1,1,0.9,821016
Queens,Forest Hills,3059,3,4,48,33,0,0,0,2.39,2197672
Brooklyn,Flatbush,3279,2,1,1,21,1,0,0,0.26,2189986
Staten Island,New Dorp,3121,0,3,36,67,0,0,1,1.64,1683233
Staten Island,Tottenville,1862,5,3,8,56,0,1,1,1.97,1446587
Queens,Long Island City,556,1,1,48,9,1,1,1,1.23,1078627
Bronx,Pelham Bay,1845,5,1,21,65,0,1,1,1.91,729409
Manhattan,Harlem,2698,0,1,43,7,1,0,1,2.32,2304386
Bronx,Fordham,3325,0,2,21,96,0,1,1,1.89,2212560
Queens,Jamaica,2032,0,2,27,37,1,0,1,0.84,1812811
Staten Island,St. George,2977,3,3,19,61,1,0,1,1.45,1753643
Bronx,Fordham,2774,4,2,23,27,1,0,0,2.29,1070793
Staten Island,New Dorp,3408,2,2,43,9,0,1,1,1.18,2285359
Manhattan,SoHo,1294,3,4,35,44,1,1,1,1.74,1990052
Staten Island,Great Kills,2544,3,2,40,64,0,1,0,1.22,1238988
Staten Island,Tottenville,912,4,4,42,97,0,1,1,0.39,982282
Brooklyn,Flatbush,615,3,2,48,66,0,0,1,0.24,1336545
Brooklyn,DUMBO,2572,0,3,5,8,0,0,1,2.39,1791110
Brooklyn,Williamsburg,2106,0,1,41,4,0,1,1,1.57,1576295
Staten Island,New Dorp,2506,5,3,8,9,0,1,0,0.35,1872764
Queens,Flushing,1967,1,2,11,11,1,1,0,2.16,1128740
Staten Island,Stapleton,2608,3,1,16,81,1,0,1,1.35,1156303
Queens,Forest Hills,2731,1,1,39,57,0,1,0,1.95,2167659
Queens,Long Island City,2553,2,1,47,20,0,0,0,0.4,1566988
Brooklyn,Bushwick,1528,0,4,24,20,0,0,0,2.28,1277708
Bronx,Pelham Bay,627,5,3,21,64,0,0,0,1.52,786868
Manhattan,Upper East Side,2765,2,4,23,2,0,0,0,1.87,2886614
Brooklyn,Bushwick,1887,5,1,49,68,1,0,0,0.18,1821381
Brooklyn,Park Slope,1201,4,3,38,88,1,0,1,0.86,1179980
Bronx,Fordham,2022,0,3,47,63,0,0,1,0.74,1402659
Manhattan,Chelsea,2305,2,2,8,48,0,1,0,2.38,2136938
Staten Island,Tottenville,3321,4,4,7,71,1,1,0,0.54,1936509
Staten Island,Stapleton,871,2,4,2,16,0,1,0,1.8,1024511
Brooklyn,Flatbush,1479,5,2,30,72,0,0,1,0.2,1371697
Manhattan,Financial District,3072,4,4,13,31,0,0,1,0.57,3131822
Brooklyn,Bay Ridge,2460,4,1,23,69,1,1,1,0.91,1950201
Queens,Astoria,1441,0,1,29,20,1,0,1,2.01,1192293
Brooklyn,Williamsburg,3141,1,4,38,6,0,0,1,2.0,2388603
Brooklyn,Flatbush,3420,5,2,37,6,1,0,1,2.39,2014591
Staten Island,Stapleton,2560,5,3,20,26,1,0,0,2.3,1863501
Staten Island,Tottenville,628,4,4,33,7,0,0,1,0.3,757554
Staten Island,Stapleton,570,4,3,29,72,1,0,1,2.09,857491
Queens,Astoria,694,0,2,15,27,1,0,1,1.18,931024
Staten Island,Stapleton,588,1,3,23,78,1,0,0,2.18,731233
Manhattan,Midtown,825,5,2,42,65,1,0,1,0.31,1545328
Bronx,Riverdale,1376,3,2,3,70,1,0,0,2.07,988903
Manhattan,Harlem,1502,3,1,37,46,1,0,0,0.48,2108244
Manhattan,Chelsea,3105,1,1,29,81,0,0,1,0.9,2343151
Staten Island,Great Kills,1318,2,2,45,85,0,1,1,0.17,904597
Bronx,South Bronx,898,0,4,8,9,0,0,1,0.4,898439
Bronx,Mott Haven,2221,1,1,22,32,1,0,0,1.17,1043778
Bronx,Mott Haven,3209,3,2,29,6,0,1,1,2.06,2349527
Queens,Forest Hills,1265,4,3,2,2,1,1,0,1.96,1316030
Staten Island,Tottenville,1225,3,3,41,13,1,1,0,0.66,1398664
Bronx,South Bronx,2258,4,4,49,43,0,0,1,0.46,1396539
Queens,Jamaica,2518,0,3,45,45,1,0,1,1.03,2082585
Brooklyn,Williamsburg,2695,4,3,1,60,0,1,1,2.22,1427401
Brooklyn,Williamsburg,545,1,2,44,35,1,1,0,0.32,1303420
Queens,Forest Hills,2041,4,3,20,12,0,1,1,1.4,1543893
Queens,Jackson Heights,1719,2,3,21,15,0,0,0,0.31,1388818
Staten Island,Annadale,3029,1,3,37,79,0,0,1,1.23,1475889
Staten Island,Tottenville,869,0,3,8,4,0,1,0,0.4,741922
Brooklyn,Williamsburg,592,1,2,27,88,1,0,1,0.29,993502
Bronx,Fordham,1491,2,3,47,37,0,0,1,0.56,1334495
Brooklyn,Bay Ridge,2941,0,4,35,49,1,1,0,0.71,2268291
Bronx,Riverdale,451,3,1,6,37,0,1,0,0.76,566933
Bronx,Riverdale,3329,2,4,45,55,0,1,1,1.65,1506144
Staten Island,St. George,2810,0,1,44,62,0,0,0,0.23,2025095
Manhattan,Upper East Side,2220,4,4,19,47,1,0,0,0.29,2546480
Manhattan,Chelsea,3364,1,1,18,89,0,0,0,0.55,2274373
Queens,Forest Hills,2921,0,1,1,58,0,0,0,2.19,1786736
Staten Island,Tottenville,2269,1,1,25,76,1,0,1,1.61,1576926
Bronx,Fordham,2968,4,1,27,43,0,1,0,1.85,2083604
Manhattan,Harlem,2186,0,2,7,89,1,0,1,0.99,1625354
Bronx,Norwood,1854,3,4,44,54,0,0,1,0.61,1500732
Manhattan,Midtown,2267,2,1,42,54,0,1,1,0.19,1932754
Manhattan,Upper East Side,3138,0,4,29,0,0,1,0,1.27,2910485
Manhattan,SoHo,2979,4,3,31,7,1,1,1,1.48,2417606
Staten Island,Great Kills,2407,0,1,44,3,0,1,1,2.25,1754098
Brooklyn,Park Slope,1834,1,4,43,84,0,0,1,2.22,1662255
Bronx,Mott Haven,1239,5,2,36,85,0,0,1,1.12,1068594
Staten Island,Stapleton,640,0,4,19,52,1,1,1,1.12,876629
Staten Island,New Dorp,935,3,1,6,57,1,0,0,0.49,837274
Staten Island,Annadale,1807,0,3,25,36,1,1,1,0.72,1230954
Staten Island,New Dorp,482,2,4,31,48,1,0,0,2.32,601391
Staten Island,Annadale,1381,0,3,9,66,1,0,1,0.44,828641
Queens,Jackson Heights,1350,5,2,20,18,1,0,1,2.42,1308666
Bronx,Norwood,1010,1,4,10,0,0,1,0,1.31,1073192
Staten Island,Annadale,973,0,4,37,28,0,1,0,1.2,1055348
Bronx,Norwood,2733,3,2,27,86,0,0,1,0.52,1265270
Queens,Flushing,1388,4,2,13,32,0,0,1,1.69,1283488
Queens,Jackson Heights,858,0,2,41,51,0,1,1,1.2,920913
Bronx,Riverdale,2573,0,1,2,40,1,1,1,0.99,1912387
Manhattan,SoHo,1922,2,1,21,22,1,0,1,0.73,1802564
Brooklyn,DUMBO,2872,3,4,33,4,1,0,0,0.26,2068750
Manhattan,SoHo,3001,5,4,24,70,0,1,1,1.35,2819745
Manhattan,Harlem,3057,4,4,44,56,1,0,1,0.85,3272119
Manhattan,SoHo,2384,1,3,42,5,0,1,0,1.8,1855987
Staten Island,Annadale,1966,0,2,34,48,1,1,0,1.84,1145972
Queens,Long Island City,2559,5,4,9,21,0,0,1,0.9,1771154
Manhattan,Financial District,2849,4,2,2,76,1,0,0,1.71,2503381
Queens,Long Island City,521,1,1,30,75,0,0,0,0.72,612839
Bronx,South Bronx,672,5,2,22,3,1,1,0,1.85,809213
Brooklyn,Bushwick,1717,3,3,46,71,0,1,1,0.14,1611543
Bronx,Fordham,797,3,3,11,63,1,1,1,0.46,833590
Bronx,Fordham,2918,4,2,43,36,0,0,1,0.69,1327102
Staten Island,Great Kills,1384,1,3,17,30,0,0,0,1.96,885382
Brooklyn,DUMBO,1630,3,3,36,36,0,1,1,0.26,1780351
Bronx,Riverdale,1533,4,1,13,44,0,1,1,0.55,1218377
Bronx,South Bronx,1701,3,4,7,89,1,0,0,0.96,1316706
Brooklyn,Bushwick,2310,3,3,16,7,1,1,1,0.12,2245276
Brooklyn,Bushwick,3016,5,4,33,39,1,0,0,1.93,1694039
Bronx,Norwood,1905,5,2,45,96,0,0,0,1.44,1182492
Brooklyn,Williamsburg,2316,3,2,1,92,1,1,0,2.26,1353255
Bronx,Pelham Bay,3344,2,3,11,4,0,1,0,0.17,2484440
Bronx,South Bronx,1219,5,2,6,27,1,1,1,0.75,1115354
Staten Island,Tottenville,3300,1,1,20,80,0,1,1,1.86,1309182
Manhattan,Harlem,3157,4,3,35,86,1,1,1,1.72,2337338
Bronx,Riverdale,2356,4,3,44,8,0,0,0,0.68,2004187
Queens,Jackson Heights,2768,1,3,37,1,0,1,1,1.53,2233484
Manhattan,Midtown,578,1,2,41,62,1,0,1,2.01,1575560
Manhattan,Financial District,1296,1,2,26,95,1,1,0,0.18,1649500
Manhattan,Harlem,2666,1,3,12,50,1,1,0,1.82,2467586
Staten Island,New Dorp,3236,0,4,30,30,0,1,1,0.71,1616052
Bronx,Fordham,2372,4,2,28,6,0,1,0,2.37,1219965
Staten Island,Stapleton,1951,0,2,27,29,0,1,1,1.39,970314
Bronx,South Bronx,891,3,3,42,57,1,1,0,0.18,800637
Staten Island,Annadale,460,3,4,19,2,0,0,0,1.07,885770
Staten Island,Annadale,1477,4,3,5,50,1,1,1,2.42,1440230
Queens,Flushing,2103,3,2,5,55,0,1,0,1.85,1059472
Staten Island,Stapleton,2985,1,3,41,72,1,1,0,0.82,2303226
Brooklyn,Bay Ridge,3295,0,3,27,9,0,1,0,1.48,1935988
Queens,Forest Hills,3435,1,3,28,60,0,0,1,1.54,1974009
Staten Island,Tottenville,464,3,4,26,49,1,0,1,0.16,793112
Manhattan,Harlem,985,5,3,27,46,0,0,1,0.53,1688804
Brooklyn,DUMBO,2127,0,2,49,89,0,0,0,1.42,1338491
Brooklyn,Flatbush,2618,1,3,42,0,1,0,0,1.07,2210129
Brooklyn,DUMBO,934,4,4,21,93,0,0,0,0.56,1338898
Queens,Flushing,3140,1,1,1,56,1,1,0,1.95,2171969
Staten Island,St. George,2555,5,4,28,37,1,1,1,1.27,1443099
Staten Island,Great Kills,2270,3,3,48,61,0,0,1,0.84,1765889
Manhattan,Harlem,3261,0,1,15,78,0,1,0,0.49,2463259
Manhattan,Chelsea,1404,4,3,17,88,0,1,1,1.57,2086427
Brooklyn,Park Slope,2899,0,4,26,69,1,1,1,1.7,1857173
Manhattan,Upper East Side,1629,4,1,20,81,0,1,1,1.71,2081024
Queens,Long Island City,3037,0,1,25,64,1,1,0,0.63,2038794
Staten Island,Stapleton,1439,3,3,13,61,0,0,1,1.53,1239624
Brooklyn,Bay Ridge,726,4,3,33,55,0,0,1,2.27,920767
Manhattan,Financial District,1007,2,4,25,66,1,0,1,0.95,1579127
Queens,Jackson Heights,3106,0,3,8,16,0,0,1,0.61,1976841
Queens,Astoria,401,0,1,5,7,0,0,1,1.95,734606
Manhattan,Harlem,1433,1,2,6,59,0,0,0,0.52,1605847
Staten Island,St. George,2881,4,2,23,39,0,1,1,0.71,2368524
Manhattan,Harlem,524,5,4,30,80,0,0,1,0.34,1392839
Brooklyn,Bushwick,1504,2,3,14,88,1,1,0,0.74,1227670
Manhattan,Upper East Side,2932,3,4,23,61,0,1,1,1.08,2412092
Queens,Jackson Heights,3099,1,2,11,40,1,0,0,0.25,1328250
Manhattan,Chelsea,2261,2,2,31,11,0,0,0,2.19,2292437
Staten Island,Annadale,1573,4,3,6,92,0,0,0,1.33,1009951
Bronx,Pelham Bay,3247,2,1,11,88,1,1,0,1.51,1501969
Manhattan,Midtown,3320,0,3,13,99,0,0,1,0.99,2761449
Staten Island,New Dorp,528,0,2,12,53,0,0,1,1.71,618098
Staten Island,Stapleton,837,1,1,2,88,1,0,0,1.14,887145
Queens,Forest Hills,1150,4,4,35,92,1,1,1,1.93,1366057
Staten Island,New Dorp,2948,4,2,36,10,0,0,0,2.07,1254707
Staten Island,Tottenville,1621,2,4,17,59,1,0,1,1.71,1516947
Staten Island,Tottenville,2658,1,1,28,67,1,1,1,1.28,1493382
Staten Island,Stapleton,1301,4,4,28,77,1,1,0,1.98,978614
Brooklyn,Flatbush,2492,5,2,22,45,1,1,1,1.29,1583676
Brooklyn,DUMBO,1702,5,3,38,37,0,0,0,0.37,1531592
Queens,Flushing,2982,0,4,7,60,0,0,1,0.38,2326146
Manhattan,Financial District,1833,2,2,15,16,1,1,1,2.38,1795078
Staten Island,Stapleton,2908,3,2,32,65,0,0,1,0.61,1333011
Manhattan,Harlem,790,0,1,11,71,1,1,0,2.06,1332853
Manhattan,SoHo,1467,1,2,24,35,0,1,0,0.69,1936985
Queens,Long Island City,426,4,3,3,73,0,1,0,1.13,834514
Staten Island,Great Kills,3241,0,3,30,6,1,1,1,1.67,2013972
Staten Island,St. George,3422,3,4,6,99,1,1,0,0.48,1492767
Bronx,Mott Haven,947,3,4,2,15,0,0,0,1.87,812472
Manhattan,Harlem,3068,5,4,14,13,0,0,0,1.76,2519171
Manhattan,Financial District,966,1,4,41,79,0,0,1,1.4,1485471
Brooklyn,DUMBO,1103,0,3,18,24,1,0,1,1.46,1284721
Bronx,Mott Haven,1642,2,1,44,3,0,1,1,0.35,1026335
Brooklyn,Park Slope,584,0,4,31,28,1,0,1,1.15,1165861
Brooklyn,Bushwick,1990,5,1,13,55,1,1,0,0.31,1540232
Brooklyn,Williamsburg,2313,3,2,26,5,1,1,1,0.84,2201984
Queens,Jackson Heights,1247,1,2,44,0,0,0,0,2.26,1415430
Queens,Jamaica,998,1,4,12,38,1,0,1,1.48,1257737
Brooklyn,Park Slope,1205,2,2,18,0,0,1,0,1.88,1184203
Bronx,South Bronx,1757,1,1,9,62,1,0,0,1.48,1372674
Manhattan,Midtown,2526,5,1,49,56,0,0,1,0.57,2735550
Bronx,Fordham,3026,5,2,21,66,0,0,0,1.53,1886501
Staten Island,New Dorp,2278,5,4,48,64,1,0,0,1.91,1242901
Queens,Astoria,2860,1,1,49,64,1,1,0,0.43,1531715
Manhattan,Harlem,945,1,1,40,20,0,1,0,2.06,1788341
Manhattan,Financial District,2032,5,3,43,29,0,0,1,1.43,2071546
Staten Island,Tottenville,2616,1,4,24,95,1,1,1,0.11,1184430
Staten Island,New Dorp,3128,1,3,34,32,1,1,0,1.35,1654022
Brooklyn,Bay Ridge,3030,3,2,8,47,0,0,1,1.05,2535811
Queens,Jamaica,2962,0,2,44,21,0,0,0,0.81,2032260
Queens,Jamaica,2479,4,3,33,93,1,1,0,1.95,2136834
Bronx,Fordham,2734,1,4,23,53,0,1,1,2.26,1395395
Brooklyn,Flatbush,3041,4,1,13,3,1,1,0,1.93,1665330
Brooklyn,Park Slope,2326,4,2,49,86,1,0,1,2.13,1867725
Brooklyn,Bay Ridge,1016,3,4,14,54,1,1,0,2.28,1291666
Brooklyn,Williamsburg,3472,1,4,14,43,1,1,1,2.29,1982005
Queens,Flushing,2717,5,2,16,88,0,0,1,0.38,1728698
Queens,Long Island City,1603,4,2,49,11,1,1,0,1.2,1462900
Brooklyn,Bushwick,2159,1,4,38,80,1,0,1,0.1,1462234
Bronx,Mott Haven,2965,2,1,39,78,0,0,0,1.32,1823198
Manhattan,Financial District,3481,5,3,26,73,0,1,1,2.32,2746484
Manhattan,Chelsea,3030,2,2,26,98,1,0,0,0.58,1915027
Bronx,South Bronx,625,2,3,1,51,1,0,1,1.64,546368
Brooklyn,Park Slope,1069,4,4,32,92,1,1,1,1.65,1258112
Queens,Forest Hills,2163,2,3,15,75,1,0,1,0.48,1801029
Manhattan,Midtown,1316,3,1,21,64,1,1,0,0.67,1711501
Staten Island,Stapleton,2573,3,4,18,64,1,0,1,1.21,1139930
Staten Island,St. George,3403,4,1,30,9,0,0,0,0.55,2026485
Bronx,Riverdale,2521,1,4,13,17,0,1,1,1.5,1718159
Brooklyn,Park Slope,1614,0,1,24,46,1,1,1,1.26,1520051
Manhattan,Chelsea,2105,1,4,30,65,0,1,0,1.35,1968907
Brooklyn,Bushwick,2242,1,1,2,48,0,0,1,0.42,1861226
Manhattan,Financial District,2383,1,4,19,71,1,1,0,1.34,2321356
Bronx,Riverdale,455,1,1,47,21,0,0,0,0.22,712291
Bronx,South Bronx,1119,5,4,44,85,0,1,0,2.22,1031454
Staten Island,Great Kills,3000,0,1,47,25,1,0,0,0.92,1835508
Brooklyn,Williamsburg,2479,5,2,25,89,1,1,0,2.16,1982011
Staten Island,St. George,973,2,3,14,8,1,0,1,1.78,1225382
Brooklyn,DUMBO,1066,1,4,6,20,0,1,0,1.94,1284846
Staten Island,Stapleton,683,3,1,12,94,1,0,1,0.85,874488
Queens,Astoria,2144,4,2,20,62,0,0,0,0.65,1177186
Queens,Astoria,2634,4,4,23,5,1,0,0,1.08,2333170
Queens,Jackson Heights,897,5,4,30,13,1,0,1,0.16,1140778
Queens,Flushing,1865,5,4,30,32,1,1,1,2.31,1589743
Manhattan,Chelsea,529,3,3,38,70,1,0,0,1.03,1487997
Queens,Astoria,1038,1,1,30,23,0,1,0,2.47,871827
Bronx,Mott Haven,2561,0,1,41,72,0,0,1,1.93,1608424
Bronx,Pelham Bay,2460,2,4,30,74,1,1,1,0.29,1035069
Manhattan,Chelsea,2891,4,4,36,86,0,0,0,1.68,2189383
Queens,Jamaica,2894,2,4,49,50,1,0,0,0.75,1538731
Queens,Jamaica,1385,0,2,34,1,1,1,0,0.68,1189892
Queens,Long Island City,1392,5,4,16,14,0,1,1,0.72,1364639
Staten Island,Great Kills,3162,4,3,24,34,0,0,0,2.3,1649270
Brooklyn,Bushwick,2521,2,1,14,35,1,1,1,1.3,1660329
Staten Island,Stapleton,2984,5,3,26,91,1,1,1,1.71,1816653
Brooklyn,Flatbush,500,0,4,8,38,1,1,0,0.77,1067016
Queens,Jamaica,2623,2,2,14,3,0,0,0,1.36,2275525
Queens,Long Island City,826,1,4,31,63,1,1,1,0.94,980885
Staten Island,Tottenville,440,5,4,2,73,1,0,0,0.87,649763
Staten Island,Stapleton,828,0,4,48,5,1,1,0,0.69,1009709
Brooklyn,DUMBO,743,2,4,4,56,1,1,1,1.08,1128630
Bronx,Mott Haven,765,1,4,1,29,1,0,0,1.68,884174
Brooklyn,Bay Ridge,1008,1,1,20,98,1,1,1,0.63,1144875
